ID,Date,Time,Sender,Message,SystemMessage,tokenized_message,pii
1,1/1/2024,8:00,Cindy,Aku lagi tambahkan data Riwayat Pendidikan ke sistem. Semoga prosesnya lancar.,FALSE,"['Aku', 'lagi', 'tambahkan', 'data', 'Riwayat', 'Pendidikan', 'ke', 'sistem', 'Semoga', 'prosesnya', 'lancar']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,1/1/2024,8:05,Dina,"Aku baru beli kendaraan baru, plat nomornya B 8392 XYZ, warna hitam.",FALSE,"['Aku', 'baru', 'beli', 'kendaraan', 'baru', 'plat', 'nomornya', 'B', '8392', 'XYZ', 'warna', 'hitam']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_Plate', 'I_Plate', 'I_Plate', 'O', 'B_Asset']"
3,1/1/2024,8:10,Gina,"Barusan pindah ke alamat baru, yaitu Jl. Kenanga No. 23.",FALSE,"['Barusan', 'pindah', 'ke', 'alamat', 'baru', 'yaitu', 'Jl', 'Kenanga', 'No', '23']","['O', 'O', 'O', 'O', 'O', 'O', 'B_Address', 'I_Address', 'I_Address', 'I_Address']"
4,1/1/2024,8:15,Dina,Ada yang tahu cara urus data Media Sosial? Aku lagi butuh info nih.,FALSE,"['Ada', 'yang', 'tahu', 'cara', 'urus', 'data', 'Media', 'Sosial', 'Aku', 'lagi', 'butuh', 'info', 'nih']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,1/1/2024,8:20,Gina,"Aku baru update data Nama Lengkap. Detailnya sekarang sudah benar, loh.",FALSE,"['Aku', 'baru', 'update', 'data', 'Nama', 'Lengkap', 'Detailnya', 'sekarang', 'sudah', 'benar', 'loh']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,1/1/2024,8:25,Budi,Ada yang tahu cara urus data Nomor Faks? Aku lagi butuh info nih.,FALSE,"['Ada', 'yang', 'tahu', 'cara', 'urus', 'data', 'Nomor', 'Faks', 'Aku', 'lagi', 'butuh', 'info', 'nih']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,1/1/2024,8:30,Ari,Ada yang tahu cara urus data Nomor Sertifikat Tanah? Aku lagi butuh info nih.,FALSE,"['Ada', 'yang', 'tahu', 'cara', 'urus', 'data', 'Nomor', 'Sertifikat', 'Tanah', 'Aku', 'lagi', 'butuh', 'info', 'nih']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,1/1/2024,8:35,Dina,"Aku baru buka rekening baru, nomornya 1938938167 di Bank ABC.",FALSE,"['Aku', 'baru', 'buka', 'rekening', 'baru', 'nomornya', '1938938167', 'di', 'Bank', 'ABC']","['O', 'O', 'O', 'O', 'O', 'O', 'B_Account', 'O', 'O', 'O']"
9,1/1/2024,8:40,Ari,"Aku baru buka rekening baru, nomornya 7026158044 di Bank ABC.",FALSE,"['Aku', 'baru', 'buka', 'rekening', 'baru', 'nomornya', '7026158044', 'di', 'Bank', 'ABC']","['O', 'O', 'O', 'O', 'O', 'O', 'B_Account', 'O', 'O', 'O']"
10,1/1/2024,8:45,Eka,Ada yang tahu cara urus data Merek dan Tipe Alat Elektronik? Aku lagi butuh info nih.,FALSE,"['Ada', 'yang', 'tahu', 'cara', 'urus', 'data', 'Merek', 'dan', 'Tipe', 'Alat', 'Elektronik', 'Aku', 'lagi', 'butuh', 'info', 'nih']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
